iter	MultiClass
0	1.074835166
1	1.052405611
2	1.031548439
3	1.011952714
4	0.9933159969
5	0.9755583898
6	0.9587920902
7	0.9430634604
8	0.9281845777
9	0.9138704675
10	0.900182251
11	0.8872512111
12	0.8749016342
13	0.8628123827
14	0.851600155
15	0.8407302371
16	0.8305709015
17	0.8205996432
18	0.8111358223
19	0.8019721213
20	0.7931437757
21	0.7846600578
22	0.7765037365
23	0.76859445
24	0.7610569134
25	0.7537434621
26	0.7469035265
27	0.7399988378
28	0.7332034102
29	0.7268428627
30	0.7206694651
31	0.7147445705
32	0.7090943736
33	0.7036329494
34	0.698321276
35	0.6930495516
36	0.6878632115
37	0.6829409057
38	0.6780923936
39	0.6734346632
40	0.6689006433
41	0.6643135384
42	0.6601684998
43	0.6561046729
44	0.6520216055
45	0.6481515352
46	0.6444420722
47	0.6409865985
48	0.6372931306
49	0.6339029506
50	0.630378474
51	0.6273022841
52	0.6241716568
53	0.6211172572
54	0.6179133772
55	0.6151359936
56	0.6123382104
57	0.6096499972
58	0.6066141812
59	0.6040791961
60	0.6012131828
61	0.5985484599
62	0.5960632372
63	0.593424941
64	0.5907381573
65	0.588300997
66	0.5860028083
67	0.5839107395
68	0.5813774157
69	0.5791032582
70	0.5770650472
71	0.5747207278
72	0.5724415091
73	0.5704414312
74	0.5685878201
75	0.5666501771
76	0.5645584946
77	0.5628171581
78	0.5611525515
79	0.5591417329
80	0.5572312119
81	0.5552723966
82	0.5537001286
83	0.552214713
84	0.550537009
85	0.5486053158
86	0.5471538994
87	0.5456478138
88	0.544074039
89	0.542439143
90	0.5411826036
91	0.5400286412
92	0.5387675428
93	0.537424151
94	0.5358879684
95	0.5346651191
96	0.5332001803
97	0.5317454412
98	0.5303631049
99	0.5291024701
100	0.5278703482
101	0.5265778779
102	0.5253769348
103	0.5240925006
104	0.5230217975
105	0.521740145
106	0.5209449897
107	0.5198505644
108	0.5188871905
109	0.5177678454
110	0.5166726088
111	0.5155529546
112	0.514602794
113	0.5136563424
114	0.5124337635
115	0.5116584667
116	0.5104037431
117	0.5095788385
118	0.5082832
119	0.5074360028
120	0.5067874301
121	0.5059815341
122	0.5049784816
123	0.5038794974
124	0.5029768583
125	0.5021592171
126	0.5011704984
127	0.5003159217
128	0.4993307961
129	0.4985385384
130	0.4977411421
131	0.4971780697
132	0.4961212753
133	0.4954190767
134	0.4948210006
135	0.494146465
136	0.4933300988
137	0.4927325249
138	0.4919513555
139	0.4913849604
140	0.4905336292
141	0.4900032809
142	0.4891926714
143	0.4885795661
144	0.4881850599
145	0.4876929607
146	0.4865604409
147	0.4858535288
148	0.4852529028
149	0.4844278822
150	0.4837991682
151	0.4832242733
152	0.4824321315
153	0.4818883381
154	0.4811876463
155	0.4801719214
156	0.4795517072
157	0.4786211733
158	0.4780998657
159	0.4776199367
160	0.4768489284
161	0.4761809995
162	0.4753349999
163	0.4749555616
164	0.4745229609
165	0.4740434568
166	0.4734016067
167	0.4730361544
168	0.4723989792
169	0.471943545
170	0.4712000838
171	0.4706673015
172	0.470340446
173	0.4698683599
174	0.469378772
175	0.4690179172
176	0.4682644881
177	0.467679123
178	0.4671619494
179	0.4667615707
180	0.4662493811
181	0.4658903036
182	0.4655314965
183	0.4651250134
184	0.464663243
185	0.464254094
186	0.4639877028
187	0.4635427388
188	0.4631679753
189	0.4629859253
190	0.4623988216
191	0.4619060269
192	0.4615240773
193	0.4613437658
194	0.4607841319
195	0.4606039364
196	0.4603307454
197	0.4600346436
198	0.4595095884
199	0.4590925191
200	0.4587147035
201	0.4583454649
202	0.4579812488
203	0.4575824928
204	0.4573105768
205	0.456875967
206	0.4564732315
207	0.4561344376
208	0.4558017095
209	0.4553806994
210	0.4550765228
211	0.4548251222
212	0.4546169546
213	0.4544087098
214	0.4541850108
215	0.4538938157
216	0.4535634057
217	0.4533412134
218	0.4530502888
219	0.4527401623
220	0.4521853579
221	0.4518334279
222	0.4516239467
223	0.4513041614
224	0.4511322339
225	0.4509596881
226	0.4507437548
227	0.4504565778
228	0.4502815594
229	0.4500544218
230	0.4494912335
231	0.44922859
232	0.4490500944
233	0.4489263451
234	0.4484396163
235	0.4478058796
236	0.4476376224
237	0.4471443255
238	0.4465070731
239	0.446108742
240	0.4459234852
241	0.4457137722
242	0.4454165114
243	0.4451066554
244	0.444840071
245	0.4444068136
246	0.4441478404
247	0.4438539795
248	0.4436824769
249	0.4434103291
250	0.443214293
251	0.4430254045
252	0.442880599
253	0.442721962
254	0.4424581594
255	0.4421683938
256	0.4419849143
257	0.4415928808
258	0.4411123722
259	0.4408901413
260	0.4407629149
261	0.4404766651
262	0.4403251371
263	0.4401314578
264	0.4398911455
265	0.439506105
266	0.4392827923
267	0.4391357846
268	0.4388351625
269	0.4384376814
270	0.4382513428
271	0.4379068695
272	0.4376345671
273	0.4373202681
274	0.4370665493
275	0.4368076535
276	0.4366954562
277	0.4362164158
278	0.4359871146
279	0.4358776991
280	0.4356189578
281	0.4351925388
282	0.4349737851
283	0.4345656793
284	0.4343176399
285	0.4341347013
286	0.4338867006
287	0.4336380817
288	0.4333953354
289	0.4332032788
290	0.4330084791
291	0.4328026296
292	0.432623284
293	0.4325226774
294	0.43219814
295	0.4319057472
296	0.4315745645
297	0.4313589789
298	0.431167695
299	0.4309680658
300	0.4306680232
301	0.4305273517
302	0.4303711874
303	0.4300622586
304	0.429828978
305	0.4295038224
306	0.4291419632
307	0.4289468157
308	0.4286974242
309	0.4285071448
310	0.4283865637
311	0.428194932
312	0.4278916054
313	0.4277077009
314	0.4275920651
315	0.4274105946
316	0.4271452466
317	0.4267721444
318	0.4266198436
319	0.4264231894
320	0.4261776614
321	0.4260823092
322	0.4259543487
323	0.4257408881
324	0.4253249779
325	0.4251124831
326	0.4248731368
327	0.4245261135
328	0.4243935554
329	0.4242386274
330	0.4240217282
331	0.4237932771
332	0.4235866935
333	0.4234113274
334	0.4233415132
335	0.4232265342
336	0.4230063897
337	0.4226421737
338	0.4224548692
339	0.4221128299
340	0.4219749401
341	0.4217800631
342	0.4215753727
343	0.4214030974
344	0.4212650145
345	0.4210655399
346	0.4207125668
