iter	TotalF1:average=Macro	MultiClass
0	0.4307931413	1.554652387
1	0.4276430551	1.51228434
2	0.4328960343	1.477936567
3	0.4404076311	1.449348204
4	0.4466577346	1.42294085
5	0.4532129657	1.400561813
6	0.4605526803	1.372354135
7	0.462292363	1.348845993
8	0.466106259	1.330289075
9	0.4677919146	1.314036186
10	0.4762015577	1.299946458
11	0.4760660148	1.287849556
12	0.4787394515	1.276014384
13	0.4829532504	1.265984268
14	0.4867541436	1.257045154
15	0.4882353314	1.24917463
16	0.4893230367	1.242421423
17	0.4901892393	1.236002497
18	0.491557617	1.230242008
19	0.4926915709	1.225025484
20	0.4972249409	1.216753274
21	0.5004097116	1.210375355
22	0.5006730639	1.204883985
23	0.5015551854	1.200508852
24	0.5028291333	1.194947006
25	0.5031856557	1.19064816
26	0.5040334679	1.187478998
27	0.5053328208	1.183295536
28	0.5062177431	1.179932795
29	0.5087321222	1.175071555
30	0.5106775708	1.17129974
31	0.5115209928	1.168061099
32	0.5132062712	1.163706719
33	0.5141037169	1.159544507
34	0.5148926858	1.156301632
35	0.5166843281	1.153502696
36	0.5175077978	1.150100608
37	0.5183093759	1.147877514
38	0.5194961118	1.14457869
39	0.5202050892	1.142754625
40	0.5222241077	1.139669387
41	0.5228225673	1.136959189
42	0.5244770132	1.134738418
43	0.5251515006	1.13359512
44	0.5251502926	1.131786163
45	0.5259789224	1.129824467
46	0.5272848378	1.127974503
47	0.5280993475	1.126103039
48	0.5293116868	1.124017326
49	0.5304595002	1.12244528
50	0.5308877887	1.121178213
51	0.5316273303	1.119267485
52	0.5325333764	1.11766514
53	0.5333614834	1.115663766
54	0.5341343265	1.114546117
55	0.5348502142	1.112825068
56	0.5351576575	1.111758885
57	0.5356903065	1.110758696
58	0.5360556784	1.109685126
59	0.5375773007	1.108016124
60	0.5387666758	1.106499445
61	0.5389153732	1.105529057
62	0.5393784003	1.103927874
63	0.5402663871	1.101947086
64	0.5424827273	1.09938174
65	0.5430976505	1.097817082
66	0.5442667892	1.095779017
67	0.5445282009	1.093668235
68	0.5452396527	1.091941292
69	0.54546688	1.090248798
70	0.5462814133	1.088931842
71	0.5471053571	1.087548312
72	0.5472070499	1.086560159
73	0.5477354312	1.085394448
74	0.5484229096	1.084252145
75	0.5490840703	1.083452591
76	0.5499268171	1.082537404
77	0.5506548837	1.080534453
78	0.5505332049	1.079737472
79	0.5509514548	1.078508009
80	0.5519048988	1.076991745
81	0.5517586465	1.075896344
82	0.551967384	1.075170918
83	0.5526413231	1.074125239
84	0.553799064	1.072895029
85	0.5541758939	1.071699351
86	0.5547504399	1.070261864
87	0.5553092569	1.069529216
88	0.5557101211	1.068409907
89	0.5558770131	1.067927203
90	0.5567298292	1.066680557
91	0.5569122562	1.065652227
92	0.5572478806	1.064739033
93	0.5576112002	1.06400182
94	0.5587247598	1.062324434
95	0.5592195915	1.0610318
96	0.5595470881	1.060212406
97	0.5603578235	1.059220103
98	0.5605514185	1.058389587
99	0.561251546	1.057170583
100	0.5618693813	1.056411787
101	0.5623358645	1.055443058
102	0.5629025377	1.054590544
103	0.5629580867	1.053949623
104	0.563212212	1.053031199
105	0.5638811732	1.052289669
106	0.5642248454	1.051330238
107	0.5648126431	1.050814413
108	0.5658089281	1.049726731
109	0.5658481009	1.048804654
110	0.5665014962	1.048032161
111	0.5670107896	1.047256017
112	0.5673677692	1.046649793
113	0.5675336344	1.046119774
114	0.5676311949	1.045731369
115	0.5681520528	1.045129712
116	0.567710932	1.044391004
117	0.5684781426	1.043399116
118	0.5687865021	1.042772805
119	0.5688975917	1.042352192
120	0.5694633116	1.041695084
121	0.5697693838	1.041306596
122	0.5701261294	1.040254194
123	0.5706156449	1.039568613
124	0.5711642604	1.03878865
125	0.5714411662	1.03820044
126	0.5715263251	1.037508633
127	0.5720375037	1.036466026
128	0.5728346396	1.03538789
129	0.5730290805	1.03440671
130	0.573596213	1.033583664
131	0.5740828023	1.033029821
132	0.5742799792	1.032110068
133	0.5745658026	1.031643385
134	0.5746757161	1.031281544
135	0.5753996105	1.029868794
136	0.5754588407	1.029215255
137	0.5755900555	1.028933934
138	0.5761009518	1.028580145
139	0.5762324874	1.028047469
140	0.5763809425	1.027870159
141	0.5763896029	1.027296144
142	0.5767888352	1.026660784
143	0.5770610339	1.025713804
144	0.5771928174	1.025412311
145	0.5773973576	1.024914832
146	0.5783520121	1.023901776
147	0.5785358753	1.02347336
148	0.5789645459	1.023137418
149	0.5793468123	1.022557011
150	0.5794731315	1.022249791
151	0.5802797023	1.021359756
152	0.580558983	1.020557546
153	0.5808124014	1.019907826
154	0.5808595026	1.019402377
155	0.5811038265	1.01861295
156	0.5813504027	1.017926705
157	0.5813602377	1.017578312
158	0.5820205113	1.016786976
159	0.5821698309	1.016132441
160	0.5824349046	1.015394232
161	0.5826267432	1.01506078
162	0.5836097117	1.014175062
163	0.5840588166	1.013787902
164	0.5842412045	1.01334247
165	0.5849700829	1.012563918
166	0.5853243101	1.012133842
167	0.5854777245	1.011534177
168	0.5861685688	1.010933599
169	0.586236926	1.010504187
170	0.5864345509	1.009968274
171	0.5864066403	1.009531557
172	0.5868175555	1.009038062
173	0.5870300208	1.008453421
174	0.5872770745	1.007842467
175	0.5875423784	1.007451406
176	0.5877969392	1.006652682
177	0.5882787031	1.006194964
178	0.5883917676	1.005676566
179	0.5888232084	1.005203823
180	0.5888741802	1.004736227
181	0.5889836621	1.004337114
182	0.588972867	1.004138056
183	0.5888198645	1.00370217
184	0.5891122521	1.003069964
185	0.5894379348	1.002608096
186	0.5897986077	1.002220936
187	0.5901539331	1.001626252
188	0.5902008167	1.000977278
189	0.5902716554	1.000631043
190	0.5909330739	1.000050885
191	0.5911207973	0.9994278941
192	0.5922287942	0.9988830155
193	0.5923850828	0.9983501733
194	0.5924425775	0.997823806
195	0.5926215711	0.9975515327
196	0.5927678824	0.9971080925
197	0.5925770996	0.996539888
198	0.5928900994	0.9958427688
199	0.5931266827	0.995328936
200	0.5932324171	0.9951674813
201	0.5936871693	0.9945801845
202	0.5938726006	0.9938423903
203	0.5943379491	0.993251026
204	0.5946447569	0.9929642259
205	0.5947869434	0.9925040177
206	0.5948676957	0.9923133434
207	0.595219965	0.991352667
208	0.5951839888	0.9908155083
209	0.5952705159	0.9904168936
210	0.5953554853	0.9900515659
211	0.5956019671	0.9896948713
212	0.5963550007	0.9891953162
213	0.5966112524	0.9889740942
214	0.5967319988	0.9885334763
215	0.5968893858	0.988162919
216	0.5968910656	0.9877411445
217	0.5969268317	0.9872559502
218	0.5970840645	0.9870201183
219	0.5974072725	0.9867655262
220	0.5975391701	0.9862477919
221	0.5979244226	0.9853838223
222	0.5982792617	0.9850634862
223	0.5981541998	0.9848587001
224	0.5981429521	0.9844963608
225	0.5981055814	0.9842335507
226	0.598474638	0.9840073481
227	0.5985755309	0.9837233703
228	0.5989487866	0.9831044467
229	0.5990348611	0.9828087645
230	0.5994938419	0.9823338635
231	0.5997670704	0.9817835892
232	0.5997519738	0.9814247364
233	0.6001282478	0.9809384629
234	0.6002589431	0.9804999203
235	0.6007540235	0.979982186
236	0.6009523963	0.9796831005
237	0.6008935269	0.9794327419
238	0.6007597559	0.9791074251
239	0.6007558808	0.978828677
240	0.6007717563	0.9784484905
241	0.6012441388	0.9776862084
242	0.6011791813	0.9775464193
243	0.6014478068	0.9772282414
244	0.6018045428	0.9765595116
245	0.60214432	0.9758395646
246	0.6024209986	0.9752343376
247	0.6029520437	0.9745986459
248	0.6029693549	0.9738285608
249	0.6033367057	0.9733456078
250	0.603458582	0.9731728637
251	0.6038247675	0.9728417362
252	0.6042345766	0.9723172781
253	0.6043282236	0.9720162833
254	0.604402976	0.9718241978
255	0.6046039051	0.9712337466
256	0.6045841188	0.9709940133
257	0.6046333518	0.9707005724
258	0.6048519649	0.9705351332
259	0.6047375259	0.9701961198
260	0.6048420374	0.970099828
261	0.6046703351	0.9698473111
262	0.6051053456	0.9691944363
263	0.6052977897	0.9689945479
264	0.6055028228	0.9683252371
265	0.6058496465	0.967989544
266	0.6058611204	0.9676405694
267	0.6060655007	0.9671849267
268	0.606226396	0.9667902134
269	0.606289904	0.9664109401
270	0.6064768818	0.9661684674
