iter	Passed	Remaining
0	25	45628
1	45	41226
2	62	37929
3	79	35756
4	95	34584
5	113	34125
6	130	33645
7	187	42263
8	218	43720
9	235	42469
10	252	41317
11	269	40396
12	287	39792
13	305	39247
14	323	38741
15	339	38096
16	356	37645
17	371	37002
18	389	36721
19	405	36331
20	425	36272
21	441	35957
22	458	35655
23	475	35421
24	491	35140
25	509	34976
26	524	34698
27	542	34537
28	558	34321
29	575	34173
30	592	34051
31	609	33879
32	628	33880
33	646	33832
34	666	33851
35	684	33755
36	699	33567
37	716	33440
38	734	33389
39	749	33195
40	767	33161
41	782	32966
42	799	32895
43	812	32642
44	827	32496
45	843	32383
46	860	32307
47	875	32164
48	891	32079
49	907	31990
50	923	31876
51	940	31847
52	957	31780
53	974	31731
54	991	31660
55	1007	31603
56	1023	31506
57	1039	31433
58	1053	31291
59	1069	31225
60	1086	31174
61	1100	31073
62	1115	30973
63	1133	30949
64	1150	30930
65	1168	30917
66	1189	30973
67	1203	30857
68	1222	30879
69	1236	30766
70	1253	30730
71	1268	30663
72	1286	30650
73	1303	30614
74	1323	30654
75	1339	30599
76	1354	30525
77	1371	30493
78	1386	30404
79	1402	30374
80	1421	30379
81	1438	30351
82	1455	30315
83	1472	30295
84	1489	30256
85	1505	30206
86	1523	30197
87	1537	30129
88	1555	30118
89	1568	30014
90	1587	30020
91	1604	30006
92	1620	29958
93	1637	29931
94	1657	29951
95	1673	29911
96	1689	29872
97	1706	29841
98	1722	29808
99	1741	29809
100	1757	29778
101	1775	29759
102	1792	29741
103	1808	29703
104	1824	29666
105	1840	29624
106	1858	29607
107	1873	29559
108	1892	29571
109	1911	29574
110	1929	29568
111	1947	29559
112	1963	29518
113	1979	29479
114	1995	29447
115	2012	29422
116	2027	29369
117	2041	29305
118	2056	29258
119	2073	29233
120	2088	29193
121	2103	29144
122	2121	29135
123	2139	29126
124	2156	29107
125	2174	29099
126	2189	29045
127	2207	29038
128	2224	29016
129	2241	28995
130	2259	28993
131	2275	28963
132	2292	28943
133	2310	28934
134	2326	28896
135	2340	28844
136	2358	28839
137	2372	28785
138	2390	28767
139	2408	28767
140	2423	28716
141	2442	28724
142	2459	28710
143	2477	28697
144	2494	28679
145	2513	28685
146	2531	28672
147	2549	28668
148	2566	28650
149	2583	28622
150	2600	28603
151	2619	28608
152	2638	28610
153	2658	28626
154	2675	28605
155	2692	28582
156	2711	28583
157	2729	28568
158	2748	28575
159	2768	28585
160	2786	28570
161	2805	28572
162	2823	28565
163	2836	28503
164	2855	28499
165	2874	28502
166	2891	28482
167	2909	28471
168	2927	28462
169	2944	28438
170	2961	28416
171	2978	28403
172	2995	28379
173	3014	28376
174	3031	28354
175	3049	28343
176	3066	28330
177	3084	28311
178	3101	28294
179	3119	28280
180	3135	28250
181	3152	28233
182	3168	28202
183	3185	28182
184	3202	28169
185	3219	28144
186	3236	28127
187	3252	28099
188	3269	28077
189	3285	28051
190	3305	28050
191	3319	28008
192	3336	27986
193	3352	27959
194	3369	27940
195	3385	27914
196	3401	27881
197	3419	27872
198	3435	27846
199	3452	27825
200	3468	27796
201	3484	27773
202	3504	27773
203	3521	27759
204	3538	27736
205	3555	27718
206	3573	27707
207	3592	27700
208	3609	27686
209	3629	27684
210	3645	27664
211	3663	27646
212	3682	27648
213	3699	27628
214	3717	27613
215	3736	27610
216	3755	27606
217	3774	27597
218	3791	27577
219	3809	27566
220	3825	27542
221	3844	27535
222	3860	27508
223	3877	27490
224	3894	27470
225	3912	27454
226	3928	27430
227	3945	27409
228	3963	27397
229	3980	27380
230	3998	27366
231	4016	27355
232	4034	27343
233	4052	27326
234	4070	27315
235	4089	27310
236	4107	27294
237	4124	27276
238	4143	27270
239	4160	27250
240	4179	27244
241	4197	27230
242	4213	27203
243	4229	27182
244	4250	27186
245	4269	27181
246	4287	27163
247	4305	27149
248	4326	27155
249	4342	27130
250	4356	27094
251	4374	27083
252	4393	27074
253	4411	27058
254	4429	27047
255	4447	27035
256	4466	27023
257	4483	27004
258	4497	26968
259	4515	26956
260	4530	26924
261	4550	26923
262	4570	26917
263	4588	26905
264	4609	26910
265	4630	26914
266	4654	26936
267	4675	26936
268	4692	26913
269	4709	26895
270	4726	26879
271	4745	26867
272	4763	26853
273	4782	26845
274	4799	26823
275	4817	26810
276	4834	26790
277	4850	26765
278	4867	26744
279	4885	26730
280	4901	26705
281	4918	26683
282	4935	26667
283	4952	26645
284	4970	26630
285	4991	26633
286	5008	26613
287	5025	26594
288	5043	26578
289	5063	26575
290	5077	26541
291	5097	26534
292	5115	26521
293	5132	26499
294	5149	26480
295	5164	26452
296	5180	26425
297	5195	26396
298	5214	26386
299	5231	26364
300	5248	26346
301	5266	26330
302	5346	26628
303	5378	26680
304	5401	26686
305	5421	26682
306	5440	26671
307	5457	26647
308	5475	26635
309	5493	26614
310	5509	26592
311	5529	26584
312	5545	26558
313	5559	26522
314	5576	26501
315	5592	26476
316	5612	26467
317	5630	26452
318	5648	26436
319	5664	26411
320	5681	26388
321	5697	26362
322	5712	26333
323	5729	26311
324	5747	26296
325	5762	26266
326	5778	26243
327	5797	26229
328	5815	26215
329	5832	26192
330	5849	26173
331	5871	26175
332	5893	26174
333	5912	26163
334	5930	26147
335	5948	26131
336	5968	26123
337	5986	26105
338	6003	26086
339	6024	26080
