iter	TotalF1:average=Macro	MultiClass
0	0.4320674972	1.551410309
1	0.4457088156	1.506991088
2	0.4485565816	1.471483473
3	0.4518053642	1.442589091
4	0.4558632857	1.417667508
5	0.4593254451	1.386731695
6	0.472394936	1.361064048
7	0.4756959664	1.340213553
8	0.4790515319	1.322256261
9	0.4809619967	1.30736399
10	0.4808638966	1.294482089
11	0.4809887214	1.276445795
12	0.4839035489	1.260056851
13	0.486831558	1.246595327
14	0.4899879583	1.233859467
15	0.4931867469	1.222994147
16	0.4966870698	1.211808462
17	0.502000439	1.202964082
18	0.5038000998	1.194064623
19	0.5089075489	1.184073235
20	0.512475239	1.176363715
21	0.5163006676	1.168288395
22	0.5173442868	1.1620583
23	0.5216046012	1.156178521
24	0.5235324364	1.149560187
25	0.5258806292	1.144124467
26	0.5290155278	1.139403471
27	0.5306043578	1.134418765
28	0.5308859958	1.131012886
29	0.532336026	1.126707297
30	0.5329326414	1.122640939
31	0.5359980378	1.118537305
32	0.5370102657	1.115006804
33	0.5384776787	1.112625257
34	0.5398051328	1.109875222
35	0.5412155698	1.106648302
36	0.5418951007	1.103553701
37	0.5423783418	1.10092838
38	0.5428897024	1.098155905
39	0.5436129078	1.095837412
40	0.5446325815	1.093140508
41	0.5458176516	1.090608746
42	0.5468012509	1.088444825
43	0.5478699111	1.086252159
44	0.548536252	1.08472906
45	0.5497249402	1.082117741
46	0.5507538493	1.080146687
47	0.5513345297	1.07793696
48	0.5517726543	1.076198089
49	0.5535895032	1.074341644
50	0.5547821396	1.072536197
51	0.5555248201	1.070832377
52	0.5560414515	1.069354063
53	0.5565662007	1.067678895
54	0.5568214004	1.066057785
55	0.5573147348	1.06414385
56	0.5579297448	1.062563169
57	0.5583041252	1.061231083
58	0.5589972768	1.059701771
59	0.5601394494	1.057549904
60	0.5605311608	1.056425243
61	0.5617839283	1.053668717
62	0.5636590332	1.051380544
63	0.5642728574	1.049015873
64	0.5649908086	1.047574928
65	0.5652544255	1.046323698
66	0.5665078865	1.044845292
67	0.5666450063	1.043793513
68	0.569393208	1.040019795
69	0.5715832798	1.036496248
70	0.5727528427	1.034418932
71	0.5735960923	1.033088608
72	0.5743673714	1.03040246
73	0.5753211923	1.028298995
74	0.5773069646	1.026139802
75	0.5779756905	1.024114412
76	0.5789506043	1.022853539
77	0.5798019743	1.021283984
78	0.5803749874	1.01970423
79	0.5810544189	1.017707862
80	0.5816224136	1.015876823
81	0.5818804646	1.014801493
82	0.5825101935	1.013793295
83	0.5830934565	1.012239411
84	0.583132586	1.011018594
85	0.5838341708	1.010024398
86	0.5842208702	1.009054681
87	0.5846441074	1.008480713
88	0.5845508756	1.006673319
89	0.5852046375	1.005899159
90	0.5859174681	1.004228071
91	0.5864413709	1.003405044
92	0.5869461052	1.002360591
93	0.5870790463	1.001371401
94	0.5874414561	1.000539752
95	0.5884779278	0.9983097175
96	0.5886511615	0.9973855283
97	0.5898553222	0.9959409669
98	0.5901606576	0.995038568
99	0.5904593442	0.9945165267
100	0.5910312618	0.9935222375
101	0.5916863012	0.9919551864
102	0.5922257425	0.9909296489
103	0.592630118	0.9902388483
104	0.5926214797	0.9895201374
105	0.5928651473	0.9885710052
106	0.5932706083	0.9873335912
107	0.5937545048	0.9862020691
108	0.5940054761	0.9855866538
109	0.5940207117	0.984783007
110	0.5943990353	0.9841383834
111	0.5945968335	0.9837759217
112	0.5950483644	0.9829013403
113	0.5954307628	0.9819331068
114	0.5957760699	0.9809030257
115	0.5957410522	0.9799724384
116	0.596155498	0.9790413876
117	0.5969133383	0.9780345805
118	0.5977830079	0.9773531451
119	0.5977356079	0.976670597
120	0.59813795	0.9760906954
121	0.5988553361	0.9754157507
122	0.5992062892	0.9743449634
123	0.5997358602	0.9734842907
124	0.6000680771	0.972651621
125	0.6004792311	0.9720916552
126	0.6007781473	0.9712453549
127	0.6009303019	0.970640974
128	0.6011296981	0.9701928344
129	0.601190759	0.9697535965
130	0.6019406352	0.9691528318
131	0.6021311083	0.9686293997
132	0.6025428946	0.9675258805
133	0.6027021027	0.9668218202
134	0.602827557	0.9663138731
135	0.6029152092	0.9657168174
136	0.6032502861	0.9651500827
137	0.603416067	0.9647469148
138	0.6040960135	0.963846834
139	0.6044731257	0.9629365535
140	0.604723073	0.9624017162
141	0.60483222	0.9617253807
142	0.6052040739	0.9608383742
143	0.6059188648	0.9597768593
144	0.6059593675	0.9591822145
145	0.6066531304	0.9577467401
146	0.6069659573	0.9568282071
147	0.607413236	0.956312842
148	0.6078711143	0.9555998801
149	0.6083478485	0.9548133874
150	0.6087141668	0.9542747484
151	0.6089400753	0.9534851957
152	0.6092920624	0.9528793311
153	0.609416768	0.952407454
154	0.6097921556	0.9519563473
155	0.6100474226	0.9515302764
156	0.6102244499	0.9510877003
157	0.6102687748	0.9504643107
158	0.6103740601	0.950015244
159	0.6110262787	0.9486384644
160	0.6111876909	0.9479131702
161	0.6113843176	0.9473481045
162	0.6119519018	0.9465489085
163	0.6122029492	0.9456935212
164	0.6123813685	0.9453145544
165	0.6131343625	0.9443967632
166	0.6132295674	0.9439637379
167	0.613434871	0.9433691857
168	0.6135505365	0.9430700552
169	0.6139425941	0.9423953887
170	0.6143471668	0.9418466426
171	0.6144519353	0.9414324404
172	0.6145399938	0.9411802287
173	0.6148987346	0.9409044648
174	0.6150407216	0.9404841427
175	0.6152903446	0.9397885204
176	0.6157977341	0.9391343462
177	0.6160220456	0.9383370046
178	0.6162829822	0.9373554187
179	0.616331045	0.9369871153
180	0.6167247337	0.9363041963
181	0.6172062432	0.935627119
182	0.6175484631	0.9349724811
183	0.6178608246	0.9340536699
184	0.6180091551	0.9333553586
185	0.6181636487	0.9327820404
186	0.6183783046	0.9324079881
187	0.6188765705	0.9317481576
188	0.6189224132	0.9314374365
189	0.6193864159	0.9309880915
190	0.6197694806	0.9302105004
191	0.6200751444	0.9297530884
192	0.6202014892	0.9295341649
193	0.6203057637	0.9290260323
194	0.6203953122	0.9283713017
195	0.620776435	0.9280122708
196	0.6212822691	0.9271599434
197	0.6215421947	0.9266196354
198	0.6216689868	0.9262635717
199	0.6220647254	0.9253750816
200	0.6223345868	0.9246088029
201	0.622730753	0.9236806265
202	0.623053557	0.9231267806
203	0.6233583528	0.9227272289
204	0.6235446688	0.9222994889
205	0.6238706651	0.9212182236
206	0.6240138261	0.9207489428
207	0.6241918696	0.9202997834
208	0.6243701988	0.9198963373
209	0.624766887	0.9189972765
210	0.6252511766	0.9182457411
211	0.6254685985	0.9176344057
212	0.6256939827	0.9168073922
213	0.6258483991	0.916528012
214	0.6259839774	0.9160313774
215	0.6262399306	0.9155856487
216	0.6263121968	0.9151469671
217	0.6264447265	0.9147425938
218	0.6267760976	0.9139951382
219	0.6267584155	0.9137905871
220	0.6272315464	0.9130825396
221	0.6273131576	0.9125670818
222	0.6277423316	0.9120976156
223	0.6277963537	0.9115981992
224	0.62811324	0.9109136112
225	0.6284199133	0.9106816134
226	0.6285042994	0.9104126185
227	0.6287083457	0.9098625743
228	0.6290252069	0.9091637066
229	0.6293928436	0.9087207597
