iter	Passed	Remaining
0	58	108767
1	117	109780
2	179	111920
3	232	108805
4	312	116952
5	370	115402
6	427	114133
7	489	114348
8	549	114001
9	614	114651
10	671	113846
11	730	113515
12	791	113376
13	845	112433
14	913	113302
15	971	112955
16	1037	113464
17	1099	113462
18	1151	112555
19	1215	112843
20	1270	112232
21	1333	112365
22	1390	112056
23	1447	111696
24	1519	112491
25	1580	112426
26	1640	112317
27	1697	112053
28	1753	111693
29	1817	111859
30	1871	111388
31	1930	111263
32	1986	110943
33	2032	110105
34	2077	109260
35	2136	109199
36	2189	108813
37	2240	108364
38	2299	108303
39	2350	107893
40	2404	107627
41	2457	107314
42	2511	107043
43	2563	106754
44	2613	106331
45	2671	106298
46	2725	106079
47	2777	105781
48	2829	105503
49	2885	105371
50	2941	105243
51	2991	104929
52	3042	104664
53	3097	104508
54	3142	104035
55	3200	104020
56	3256	103920
57	3306	103654
58	3358	103421
59	3416	103420
60	3468	103198
61	3533	103395
62	3601	103640
63	3666	103817
64	3725	103802
65	3779	103651
66	3837	103619
67	3890	103452
68	3961	103740
69	4026	103878
70	4080	103737
71	4132	103544
72	4195	103617
73	4259	103728
74	4322	103796
75	4381	103768
76	4439	103724
77	4498	103698
78	4557	103677
79	4614	103603
80	4675	103620
81	4732	103538
82	4786	103396
83	4847	103405
84	4904	103340
85	4953	103105
86	5009	103014
87	5055	102721
88	5115	102705
89	5161	102430
90	5225	102496
91	5283	102459
92	5341	102398
93	5396	102297
94	5448	102149
95	5516	102293
96	5575	102254
97	5639	102323
98	5705	102415
99	5750	102127
100	5813	102163
101	5872	102136
102	5936	102193
103	5994	102140
104	6046	101977
105	6104	101941
106	6161	101869
107	6221	101852
108	6273	101696
109	6327	101583
110	6385	101528
111	6433	101332
112	6492	101298
113	6548	101211
114	6606	101162
115	6661	101070
116	6726	101120
117	6778	100985
118	6829	100842
119	6885	100750
120	6935	100587
121	6987	100464
122	7047	100438
123	7100	100324
124	7157	100258
125	7211	100163
126	7264	100039
127	7312	99854
128	7361	99697
129	7409	99511
130	7462	99400
131	7515	99297
132	7571	99229
133	7623	99110
134	7669	98914
135	7716	98729
136	7768	98609
137	7812	98388
138	7866	98301
139	7923	98256
140	7976	98145
141	8030	98067
142	8085	97990
143	8141	97919
144	8195	97840
145	8254	97814
146	8314	97788
147	8369	97720
148	8424	97644
149	8480	97580
150	8530	97450
151	8588	97408
152	8640	97303
153	8694	97221
154	8748	97134
155	8804	97073
156	8862	97034
157	8916	96957
158	8970	96865
159	9030	96855
160	9084	96772
161	9132	96628
162	9188	96564
163	9252	96591
164	9308	96526
165	9358	96404
166	9418	96382
167	9476	96340
168	9525	96213
169	9584	96182
170	9640	96126
171	9695	96055
172	9742	95909
173	9789	95759
174	9840	95647
175	9899	95618
176	9957	95582
177	10017	95563
178	10078	95552
179	10129	95438
180	10185	95388
181	10246	95371
182	10301	95302
183	10364	95306
184	10424	95281
185	10478	95209
186	10528	95094
187	10587	95061
188	10634	94924
189	10687	94837
190	10746	94805
191	10800	94726
192	10847	94595
193	10907	94570
194	10967	94543
195	11019	94451
196	11076	94404
197	11132	94341
198	11182	94238
199	11245	94235
200	11306	94220
201	11364	94178
202	11418	94101
203	11468	93998
204	11525	93946
205	11586	93927
206	11641	93864
207	11697	93803
208	11750	93719
209	11813	93719
210	11872	93683
211	11928	93630
212	11984	93566
213	12031	93444
214	12080	93329
215	12134	93258
216	12184	93152
217	12237	93070
218	12292	93010
219	12342	92905
220	12400	92866
221	12450	92765
222	12505	92699
223	12558	92621
224	12617	92586
225	12667	92483
226	12720	92402
227	12772	92321
228	12831	92288
229	12892	92268
230	12943	92176
231	13002	92138
232	13054	92055
233	13101	91932
234	13149	91823
235	13203	91750
236	13254	91663
237	13304	91566
238	13358	91500
239	13417	91460
240	13466	91360
241	13519	91287
242	13573	91215
243	13629	91159
244	13688	91129
245	13746	91086
246	13819	91140
247	13882	91129
248	13936	91063
249	13988	90982
250	14047	90945
251	14099	90862
252	14149	90766
253	14209	90736
254	14264	90678
255	14312	90570
256	14362	90477
257	14422	90449
258	14479	90400
259	14535	90344
260	14583	90238
261	14635	90161
262	14691	90104
263	14751	90074
264	14801	89981
265	14858	89932
266	14915	89885
267	14965	89795
268	15018	89717
269	15065	89612
270	15120	89551
271	15168	89449
272	15213	89331
273	15266	89260
274	15324	89214
275	15372	89115
276	15411	88965
277	15469	88924
278	15526	88873
279	15573	88771
280	15631	88728
281	15682	88643
282	15737	88587
283	15795	88544
284	15841	88431
285	15895	88367
286	15948	88301
287	15995	88195
288	16053	88157
289	16098	88041
290	16150	87965
291	16202	87892
292	16259	87847
293	16314	87788
294	16364	87703
295	16413	87614
296	16468	87552
297	16515	87455
298	16565	87370
299	16620	87311
300	16667	87211
301	16716	87126
302	16780	87112
303	16839	87078
304	16895	87023
305	16949	86961
306	17003	86901
307	17058	86842
308	17107	86753
309	17169	86732
310	17222	86664
311	17276	86603
312	17331	86548
313	17386	86490
314	17442	86437
315	17492	86356
316	17542	86274
317	17597	86217
318	17650	86147
319	17701	86075
320	17752	85995
321	17802	85915
322	17853	85840
323	17904	85766
324	17962	85721
325	18014	85649
326	18071	85604
327	18131	85572
328	18188	85522
329	18248	85489
330	18296	85404
331	18351	85346
332	18406	85287
333	18456	85210
334	18518	85183
335	18572	85125
336	18628	85071
337	18681	85005
338	18735	84944
339	18792	84898
340	18851	84858
341	18906	84803
342	18962	84748
343	19017	84695
344	19071	84635
345	19126	84575
346	19183	84528
347	19240	84483
348	19301	84451
349	19363	84425
350	19417	84364
351	19470	84297
352	19526	84245
353	19581	84188
354	19642	84158
355	19692	84078
356	19750	84035
357	19800	83957
358	19855	83900
359	19900	83805
360	19943	83696
361	20000	83650
362	20051	83577
363	20101	83497
364	20158	83452
365	20206	83363
366	20259	83300
367	20310	83228
368	20367	83180
369	20420	83118
370	20472	83046
371	20524	82982
372	20576	82911
373	20637	82881
374	20697	82845
375	20756	82806
376	20807	82731
377	20853	82641
378	20912	82600
379	20958	82511
380	21000	82403
381	21051	82330
382	21154	82463
383	21221	82453
384	21276	82397
385	21325	82319
386	21381	82267
387	21426	82172
388	21491	82153
389	21543	82086
390	21591	82003
391	21656	81985
392	21703	81897
393	21754	81829
394	21799	81736
395	21851	81667
396	21906	81610
397	21969	81586
398	22021	81518
399	22069	81437
400	22121	81368
401	22178	81322
402	22228	81246
403	22272	81151
404	22328	81098
405	22387	81056
406	22440	80996
407	22505	80976
408	22565	80936
409	22621	80883
410	22676	80828
411	22728	80764
412	22781	80699
413	22829	80620
414	22878	80543
415	22934	80490
416	22988	80432
417	23045	80382
418	23099	80325
419	23154	80269
420	23218	80244
421	23271	80181
422	23320	80104
423	23378	80061
424	23438	80020
425	23489	79953
426	23544	79895
427	23592	79818
428	23647	79761
429	23698	79694
430	23752	79635
431	23793	79531
432	23848	79477
433	23901	79414
434	23962	79377
435	24015	79316
436	24069	79257
437	24119	79187
438	24177	79140
439	24224	79059
440	24278	79001
441	24328	78929
442	24374	78846
443	24428	78787
444	24486	78741
445	24535	78667
446	24580	78580
447	24631	78513
448	24684	78451
449	24737	78390
450	24792	78335
451	24844	78272
452	24894	78199
453	24953	78158
454	25009	78106
455	25065	78054
456	25113	77979
457	25170	77928
458	25226	77878
459	25277	77811
460	25330	77750
461	25387	77700
462	25450	77670
463	25505	77616
464	25560	77560
465	25613	77499
466	25667	77443
467	25722	77387
468	25777	77331
469	25837	77291
470	25895	77246
471	25954	77202
472	26008	77146
473	26065	77096
474	26118	77036
475	26175	76986
476	26231	76933
477	26285	76875
478	26340	76820
479	26391	76755
480	26451	76716
481	26502	76648
482	26565	76615
483	26620	76560
484	26670	76491
485	26732	76456
486	26783	76390
487	26844	76352
488	26900	76299
489	26963	76268
490	27021	76221
491	27087	76196
492	27138	76132
493	27190	76068
494	27241	76000
495	27294	75941
496	27350	75888
497	27401	75822
498	27455	75764
499	27506	75696
500	27561	75643
501	27622	75605
502	27678	75550
503	27733	75496
504	27782	75426
505	27842	75384
506	27895	75323
507	27954	75280
508	28007	75219
509	28055	75143
510	28110	75088
511	28159	75018
512	28209	74949
513	28269	74909
514	28319	74841
515	28375	74786
516	28437	74752
517	28501	74720
518	28555	74662
519	28617	74625
520	28669	74561
521	28718	74491
522	28783	74464
523	28841	74415
524	28901	74373
525	28948	74296
526	29011	74262
527	29069	74216
528	29128	74170
529	29187	74126
530	29252	74095
531	29310	74047
532	29369	74002
533	29425	73949
534	29477	73887
535	29536	73840
536	29593	73791
537	29656	73755
538	29716	73712
539	29773	73660
540	29828	73605
541	29877	73535
542	29940	73500
543	29993	73439
544	30052	73394
545	30110	73345
546	30159	73276
547	30205	73199
548	30258	73137
549	30311	73077
550	30367	73025
551	30416	72955
552	30470	72898
553	30525	72841
554	30577	72780
555	30635	72732
556	30693	72683
557	30737	72602
558	30792	72546
559	30841	72477
560	30890	72409
561	30955	72376
562	31014	72331
563	31071	72279
564	31144	72266
565	31313	72474
566	31433	72568
567	31492	72522
568	31548	72466
569	31601	72407
570	31653	72343
571	31699	72265
572	31750	72200
573	31802	72137
574	31854	72074
575	31905	72009
576	31960	71952
577	32021	71910
578	32070	71841
579	32127	71788
580	32186	71740
581	32240	71683
582	32296	71628
583	32355	71580
584	32407	71517
585	32465	71467
586	32514	71398
587	32572	71349
588	32627	71293
589	32682	71236
590	32740	71187
591	32791	71121
592	32844	71062
593	32896	70999
594	32950	70940
595	33002	70876
596	33058	70823
597	33113	70767
598	33164	70702
599	33219	70646
600	33268	70578
601	33325	70526
602	33382	70473
603	33467	70481
604	33534	70450
605	33591	70398
606	33647	70344
607	33702	70287
608	33758	70233
609	33812	70174
610	33875	70135
611	33932	70082
612	33987	70026
613	34037	69959
614	34098	69915
615	34149	69851
616	34211	69808
617	34266	69753
618	34323	69701
619	34375	69637
620	34436	69593
621	34497	69549
622	34556	69500
623	34601	69425
624	34656	69368
625	34712	69313
626	34768	69259
627	34820	69196
628	34872	69134
629	34932	69088
630	34980	69018
631	35041	68973
632	35099	68923
633	35156	68871
634	35211	68814
635	35258	68743
636	35313	68685
637	35365	68625
638	35410	68549
639	35464	68490
640	35513	68422
641	35559	68349
642	35618	68301
643	35675	68248
644	35741	68214
645	35792	68149
646	35849	68096
647	35910	68052
648	35963	67991
649	36018	67935
650	36072	67878
651	36126	67819
652	36181	67763
653	36234	67704
654	36284	67638
655	36344	67590
656	36393	67525
657	36450	67472
658	36509	67424
659	36563	67366
660	36624	67321
661	36685	67274
662	36735	67210
663	36783	67141
664	36837	67082
665	36887	67017
666	36943	66963
667	36996	66903
668	37058	66861
669	37107	66792
670	37168	66747
671	37219	66684
672	37276	66632
673	37336	66585
674	37393	66532
675	37456	66491
676	37509	66430
677	37566	66379
678	37611	66304
679	37669	66253
680	37724	66198
681	37784	66150
682	37842	66098
683	37899	66047
684	37964	66007
685	38021	65955
686	38084	65912
687	38145	65867
688	38202	65814
689	38259	65762
690	38317	65710
691	38366	65644
692	38420	65586
693	38478	65535
694	38530	65473
695	38590	65426
696	38645	65370
697	38705	65322
698	38754	65255
699	38811	65202
700	38856	65130
701	38915	65081
702	38967	65019
703	39017	64955
704	39067	64890
705	39113	64819
706	39167	64762
707	39227	64714
708	39280	64654
709	39336	64600
710	39384	64533
711	39441	64480
712	39495	64422
713	39552	64369
714	39603	64306
715	39653	64242
716	39710	64189
717	39764	64132
718	39817	64074
719	39876	64024
720	39937	63977
721	39987	63914
722	40039	63853
723	40088	63786
724	40141	63728
725	40189	63661
726	40242	63602
727	40296	63545
728	40352	63489
729	40412	63442
730	40462	63378
731	40527	63337
732	40578	63276
733	40638	63228
734	40691	63169
735	40744	63109
736	40791	63040
737	40838	62973
738	40891	62913
739	40949	62862
740	41006	62810
741	41061	62753
742	41110	62689
743	41169	62639
744	41223	62582
745	41272	62517
746	41326	62460
747	41369	62385
748	41429	62337
749	41484	62282
750	41534	62218
751	41592	62167
752	41647	62112
753	41704	62059
754	41758	62000
755	41808	61939
756	41866	61887
757	41922	61833
758	41966	61760
759	42019	61702
760	42079	61654
761	42134	61598
762	42189	61542
763	42239	61479
764	42295	61425
765	42352	61372
766	42406	61314
767	42452	61247
768	42497	61176
769	42555	61125
