iter	TotalF1:average=Macro	MultiClass
0	0.4417069358	1.565789625
1	0.4518438605	1.530385398
2	0.4585236772	1.499480277
3	0.4556194128	1.473321929
4	0.4557639052	1.450417392
5	0.4562309004	1.43080088
6	0.4591033522	1.412229285
7	0.4607879358	1.396404109
8	0.4626669735	1.382174729
9	0.4625605247	1.368950673
10	0.4639281466	1.350488122
11	0.4700591145	1.334563546
12	0.4748913828	1.320545857
13	0.4786186259	1.308030497
14	0.4786337792	1.296009268
15	0.4799346773	1.286119136
16	0.4821702907	1.275424615
17	0.4833020006	1.266490477
18	0.4850827409	1.257930576
19	0.487171545	1.251126979
20	0.4888697338	1.243600961
21	0.4940147187	1.23661488
22	0.4941908959	1.23047612
23	0.4958658311	1.225920916
24	0.4982330433	1.220973207
25	0.5016819537	1.213300777
26	0.5045313747	1.206840076
27	0.5035465303	1.200645959
28	0.5058463847	1.194054052
29	0.5073653956	1.188246691
30	0.5082311376	1.183039908
31	0.5092214836	1.178556752
32	0.510837101	1.174313752
33	0.5129595648	1.170355233
34	0.513916091	1.166338204
35	0.5143929576	1.162490306
36	0.5154321927	1.159044091
37	0.5175824091	1.155517948
38	0.5185367072	1.153014654
39	0.5196638619	1.150788236
40	0.5200929593	1.148785378
41	0.5216135603	1.145539542
42	0.5215918083	1.142877132
43	0.5233243906	1.140766527
44	0.5238941612	1.138569225
45	0.5254694199	1.136377393
46	0.5267227998	1.134381768
47	0.5284407948	1.131326111
48	0.5291643743	1.128804457
49	0.5311109275	1.125093699
50	0.5322534294	1.121862699
51	0.5328466853	1.120137737
52	0.5337655997	1.117670698
53	0.5349346754	1.115884075
54	0.535521851	1.11446594
55	0.5359278738	1.112778346
56	0.537162206	1.111435968
57	0.5377979399	1.109838225
58	0.538187777	1.108489819
59	0.5384603744	1.107060743
60	0.5386139777	1.105243798
61	0.539264807	1.104102354
62	0.5397954211	1.102529183
63	0.5401701585	1.101040114
64	0.5410610784	1.09978026
65	0.5409202168	1.098611185
66	0.5413788214	1.097308307
67	0.5416743927	1.096330986
68	0.5421811657	1.09452146
69	0.5424658509	1.093655131
70	0.5429683939	1.092538445
71	0.5434222889	1.091518563
72	0.5445470501	1.089858509
73	0.5449461321	1.088729491
74	0.5455021991	1.08723356
75	0.5464851516	1.085606237
76	0.5469843451	1.084369565
77	0.5476293461	1.08322126
78	0.5486840276	1.081919402
79	0.5490560043	1.080959792
80	0.5496758232	1.079807592
81	0.55006062	1.07890269
82	0.5505540673	1.077928244
83	0.5517336855	1.07644891
84	0.5526829074	1.075215298
85	0.5530127272	1.07447832
86	0.5535009715	1.073300621
87	0.5538207586	1.072641162
88	0.5543808173	1.071521601
89	0.554617643	1.070517205
90	0.5556371123	1.069258835
91	0.5557949426	1.068638969
92	0.5564285576	1.067782098
93	0.5567299504	1.067071454
94	0.5573480433	1.06607188
95	0.5572667694	1.064985329
96	0.5577692064	1.064005505
97	0.5584275613	1.063230696
98	0.5588047007	1.062000236
99	0.5589695037	1.061453993
100	0.5596414027	1.060710525
101	0.5603447629	1.059921621
102	0.5605496277	1.059111855
103	0.5607299191	1.057934156
104	0.5619029396	1.056980851
105	0.5632030128	1.055812239
106	0.5638320449	1.054628883
107	0.564107745	1.053747904
108	0.5647213209	1.052426574
109	0.5651695629	1.051311464
110	0.5656313476	1.05053072
111	0.566247168	1.04995425
112	0.5662819584	1.049072806
113	0.5667652299	1.048201563
114	0.5673267094	1.047229342
115	0.5678613093	1.046138063
116	0.568556808	1.044823595
117	0.5682586917	1.044442495
118	0.5688179456	1.043440046
119	0.569193084	1.042742198
120	0.5695708943	1.042405143
121	0.5696302035	1.041774985
122	0.5699728932	1.040879911
123	0.5704039944	1.039895914
