iter	Passed	Remaining
0	66	108458
1	133	108279
2	199	108255
3	266	108136
4	333	108159
5	399	107819
6	461	106903
7	526	106594
8	593	106758
9	657	106363
10	726	106669
11	793	106735
12	859	106751
13	926	106726
14	993	106731
15	1064	107222
16	1138	107779
17	1207	107901
18	1273	107790
19	1334	107213
20	1402	107283
21	1476	107698
22	1535	107095
23	1591	106312
24	1656	106130
25	1731	106625
26	1800	106670
27	1864	106482
28	1937	106752
29	2015	107269
30	2083	107261
31	2147	107017
32	2216	107050
33	2282	106964
34	2347	106791
35	2416	106812
36	2482	106698
37	2551	106686
38	2610	106294
39	2668	105863
40	2723	105369
41	2793	105412
42	2857	105277
43	2916	104941
44	2981	104807
45	3040	104504
46	3104	104355
47	3169	104278
48	3232	104086
49	3307	104326
50	3384	104581
51	3436	104094
52	3507	104162
53	3573	104093
54	3628	103697
55	3753	105299
56	3814	105056
57	3878	104919
58	3942	104788
59	4007	104667
60	4074	104612
61	4135	104386
62	4200	104267
63	4268	104256
64	4333	104131
65	4394	103927
66	4463	103919
67	4527	103805
68	4599	103857
69	4656	103573
70	4718	103414
71	4790	103451
72	4863	103534
73	4922	103308
74	4995	103371
75	5064	103359
76	5130	103282
77	5198	103234
78	5263	103141
79	5326	102997
80	5396	102991
81	5462	102918
82	5527	102817
83	5600	102880
84	5670	102866
85	5730	102677
86	5796	102607
87	5856	102418
88	5925	102400
89	5989	102289
90	6062	102335
91	6125	102203
92	6186	102047
93	6251	101945
94	6319	101916
95	6388	101884
96	6455	101820
97	6521	101740
98	6594	101777
99	6652	101581
100	6719	101520
101	6777	101334
102	6843	101257
103	6918	101320
104	6984	101246
105	7062	101336
106	7136	101383
107	7203	101316
108	7274	101303
109	7337	101197
110	7409	101196
111	7559	102261
112	7629	102220
113	7701	102214
114	7767	102129
115	7835	102058
116	7917	102182
117	7976	102002
118	8039	101876
119	8096	101675
120	8151	101454
121	8203	101195
122	8261	101022
123	8326	100926
124	8377	100667
125	8442	100574
126	8498	100380
127	8562	100273
128	8620	100110
129	8676	99916
130	8731	99710
131	8792	99582
132	8850	99421
133	8902	99191
134	8957	98997
135	9016	98855
136	9092	98886
137	9145	98677
138	9210	98599
139	9267	98434
140	9337	98406
141	9398	98291
142	9459	98168
143	9529	98144
144	9605	98171
145	9671	98105
146	9739	98057
147	9796	97894
148	9868	97889
149	9934	97822
150	9998	97736
151	10054	97572
152	10112	97425
153	10171	97287
154	10233	97184
155	10289	97024
156	10348	96894
157	10416	96847
158	10474	96707
159	10538	96624
160	10600	96522
161	10659	96392
162	10731	96386
163	10791	96266
164	10844	96085
165	10909	96018
166	10975	95953
167	11046	95936
168	11107	95827
169	11174	95769
170	11230	95622
171	11288	95488
172	11343	95336
173	11392	95132
174	11456	95054
175	11516	94943
176	11573	94814
177	11635	94715
178	11697	94624
179	11747	94438
180	11808	94339
181	11863	94191
182	11936	94184
183	12001	94122
184	12072	94100
185	12147	94113
186	12204	93983
187	12270	93923
188	12331	93826
189	12389	93702
190	12458	93669
191	12529	93648
192	12597	93603
193	12661	93524
194	12719	93408
195	12778	93295
196	12847	93260
197	12920	93248
198	12986	93192
199	13041	93054
200	13113	93032
201	13177	92962
202	13242	92894
203	13314	92872
204	13373	92764
205	13434	92675
206	13497	92592
207	13568	92565
208	13626	92452
209	13685	92344
210	13755	92314
211	13818	92231
212	13877	92122
213	13940	92049
214	13995	91915
215	14062	91860
216	14127	91796
217	14187	91700
218	14251	91624
219	14314	91545
220	14375	91454
221	14434	91356
222	14496	91272
223	14554	91162
224	14609	91032
225	14669	90939
226	14731	90853
227	14793	90773
228	14870	90779
229	14933	90704
230	14999	90644
231	15061	90564
232	15133	90539
233	15201	90494
234	15262	90405
235	15333	90378
236	15394	90287
237	15449	90167
238	15510	90076
239	15568	89970
240	15626	89869
241	15681	89749
242	15744	89672
243	15860	89899
244	15936	89895
245	16000	89826
246	16067	89769
247	16149	89801
248	16219	89762
249	16280	89672
250	16339	89574
251	16399	89478
252	16462	89404
253	16529	89352
254	16591	89270
255	16647	89157
256	16715	89108
257	16777	89023
258	16841	88952
259	16895	88831
260	16958	88758
261	17024	88696
262	17086	88618
263	17157	88580
264	17220	88505
265	17286	88448
266	17361	88434
267	17423	88352
268	17476	88225
269	17532	88118
270	17588	88008
271	17652	87939
272	17721	87895
273	17787	87833
274	17847	87743
275	17907	87655
276	17968	87571
277	18032	87501
278	18091	87408
279	18154	87337
280	18214	87248
281	18284	87208
282	18351	87155
283	18414	87080
284	18466	86953
285	18520	86841
286	18582	86761
287	18650	86710
288	18719	86664
289	18765	86517
290	18818	86398
291	18885	86343
292	18955	86304
293	19014	86210
294	19079	86146
295	19135	86044
296	19194	85954
297	19262	85906
298	19336	85883
299	19389	85765
300	19454	85702
301	19512	85608
302	19574	85532
303	19648	85508
304	19719	85472
305	19778	85385
306	19837	85294
307	19894	85199
308	19955	85118
309	20020	85055
310	20072	84937
311	20131	84850
312	20187	84750
313	20252	84684
314	20311	84598
315	20367	84498
316	20425	84410
317	20494	84364
318	20551	84265
319	20608	84171
320	20664	84075
321	20726	83998
322	20795	83955
323	20865	83911
324	20933	83863
325	20990	83767
326	21047	83676
327	21103	83576
328	21168	83514
329	21228	83433
330	21283	83333
331	21338	83233
332	21396	83142
333	21453	83052
334	21510	82960
335	21567	82867
336	21632	82806
337	21700	82756
338	21759	82674
339	21826	82619
340	21892	82561
341	21947	82463
342	22008	82386
343	22066	82300
344	22126	82220
345	22179	82115
346	22248	82068
347	22322	82042
348	22398	82022
349	22465	81968
350	22522	81877
351	22584	81804
352	22652	81755
353	22724	81719
354	22790	81660
355	22851	81584
356	22909	81499
357	22964	81402
358	23030	81345
359	23090	81265
360	23148	81178
361	23210	81108
362	23263	81005
363	23325	80935
364	23381	80841
365	23447	80784
366	23521	80753
367	23580	80674
368	23638	80589
369	23702	80522
370	23758	80432
371	23823	80371
372	23886	80304
373	23939	80202
374	24009	80161
375	24064	80067
376	24132	80015
377	24187	79919
378	24298	80011
379	24353	79918
380	24409	79828
381	24472	79761
382	24545	79724
383	24606	79651
384	24671	79588
385	24730	79508
386	24785	79415
387	24838	79316
388	24913	79286
389	24975	79218
390	25039	79153
391	25105	79096
392	25165	79019
393	25231	78961
394	25285	78865
395	25345	78787
396	25404	78709
397	25474	78662
398	25527	78566
399	25588	78493
400	25648	78416
401	25713	78354
402	25777	78292
403	25835	78209
404	25898	78144
405	25966	78090
406	26035	78042
407	26096	77970
408	26151	77879
409	26211	77803
410	26278	77747
411	26339	77677
412	26403	77611
413	26460	77526
414	26517	77443
415	26580	77378
416	26640	77300
417	26706	77245
418	26765	77165
419	26827	77096
420	26900	77058
421	26962	76990
422	27020	76909
423	27087	76854
424	27146	76775
425	27198	76679
426	27255	76596
427	27320	76536
428	27383	76469
429	27444	76397
430	27504	76323
431	27565	76252
432	27618	76157
433	27678	76084
434	27743	76022
435	27805	75954
436	27860	75867
437	27921	75797
438	27975	75705
439	28036	75635
440	28096	75561
441	28160	75498
442	28219	75421
443	28285	75363
444	28345	75291
445	28402	75210
446	28462	75135
447	28527	75076
448	28579	74980
449	28645	74922
450	28710	74864
451	28775	74802
452	28829	74715
453	28895	74658
454	28964	74606
455	29027	74543
456	29091	74478
457	29156	74419
458	29214	74340
459	29269	74254
460	29329	74182
461	29383	74095
462	29451	74041
463	29511	73970
464	29574	73904
465	29637	73838
466	29706	73788
467	29778	73745
468	29837	73670
469	29906	73620
470	29965	73546
471	30023	73467
472	30085	73401
473	30148	73335
474	30215	73280
475	30277	73211
476	30342	73153
477	30402	73079
478	30465	73014
479	30539	72977
480	30608	72926
481	30663	72840
482	30713	72745
483	30779	72687
484	30839	72617
485	30904	72556
486	30971	72499
487	31027	72418
488	31089	72352
489	31154	72291
490	31219	72229
491	31284	72171
492	31348	72107
493	31411	72042
494	31468	71963
495	31529	71895
496	31590	71825
497	31648	71748
498	31707	71674
499	31767	71604
500	31835	71549
501	31898	71486
502	31956	71408
503	32016	71337
504	32078	71270
505	32135	71193
506	32194	71119
507	32261	71063
508	32325	71001
509	32384	70927
510	32444	70857
511	32503	70784
512	32566	70720
513	32655	70711
514	32726	70663
515	32793	70607
516	32855	70541
517	32923	70487
518	32983	70414
519	33055	70369
520	33121	70311
521	33191	70261
522	33248	70185
523	33307	70110
524	33364	70034
525	33422	69959
526	33488	69899
527	33556	69845
528	33622	69787
529	33686	69723
530	33747	69656
531	33815	69600
532	33876	69533
533	33944	69478
534	34010	69420
535	34068	69345
536	34138	69293
537	34203	69234
538	34266	69168
539	34337	69119
540	34406	69067
541	34464	68992
542	34528	68930
543	34596	68875
544	34666	68824
545	34728	68757
546	34789	68688
547	34851	68622
