iter	Logloss
0	0.6896171512
1	0.6862094489
2	0.6827607737
3	0.6793763686
4	0.6760244173
5	0.6727385904
6	0.6695053851
7	0.6661869306
8	0.6630036229
9	0.6598541598
10	0.6567516967
11	0.6536337601
12	0.6505660109
13	0.6474986094
14	0.6444461019
15	0.6414157904
16	0.6383301337
17	0.6353401577
18	0.6324089461
19	0.6295538269
20	0.6266291061
21	0.6238225517
22	0.6210259073
23	0.6182515168
24	0.6154263595
25	0.6127406953
26	0.6099560472
27	0.607366875
28	0.6047265302
29	0.602105136
30	0.5994251513
31	0.5968377177
32	0.5943464863
33	0.5918479528
34	0.5893690074
35	0.5868957415
36	0.5845020452
37	0.5820442528
38	0.5796889215
39	0.5772647419
40	0.5749308532
41	0.5725616132
42	0.570307526
43	0.5679942687
44	0.5657669558
45	0.5635298489
46	0.5613089689
47	0.5591342196
48	0.5570152212
49	0.5548728676
50	0.5527601861
51	0.5506283221
52	0.5485746948
53	0.5464975386
54	0.5444396807
55	0.5422933284
56	0.5402940612
57	0.5383007631
58	0.5363582899
59	0.5343742064
60	0.5323964977
61	0.5303519691
62	0.5283325342
63	0.5264711954
64	0.5245231008
65	0.5226724254
66	0.5207566686
67	0.5188746405
68	0.5169968431
69	0.5152121763
70	0.5133583714
71	0.5116061584
72	0.509853134
73	0.5081000517
74	0.5063607622
75	0.5046452915
76	0.5029374126
77	0.5011960368
78	0.4993936943
79	0.4976849461
80	0.4960419168
81	0.4943553067
82	0.4927418335
83	0.4911504984
84	0.4894961682
85	0.4878701191
86	0.486226916
87	0.4846679187
88	0.4830478678
89	0.4815022577
90	0.4799764386
91	0.478505617
92	0.476983333
93	0.4754952704
94	0.4740325912
95	0.4725272585
96	0.4710364142
97	0.4695689828
98	0.468096017
99	0.4666700511
100	0.4652327265
101	0.4638568031
102	0.4624452386
103	0.461084499
104	0.4596618365
105	0.4582433466
106	0.456860295
107	0.4554537435
108	0.4541183004
109	0.4527867113
110	0.4514632065
111	0.450170446
112	0.4488093876
113	0.447495706
114	0.446267766
115	0.444968109
116	0.4437089033
117	0.4424714879
118	0.4412170634
119	0.4399705784
120	0.4387524904
121	0.4375544832
122	0.4363127214
123	0.4351505872
124	0.4339477988
125	0.4327661924
126	0.4315876574
127	0.4304124258
128	0.4292751245
129	0.4281532967
130	0.4270175601
131	0.4258593378
132	0.4247269915
133	0.4235827938
134	0.4224569382
135	0.4213347047
136	0.4202501698
137	0.419144366
138	0.4180819691
139	0.4169819607
140	0.415932922
141	0.4148455184
142	0.4138053176
143	0.4127471223
144	0.4116987791
145	0.4106562891
146	0.4096347202
147	0.40861602
148	0.4076355689
149	0.4066255617
150	0.4056244792
151	0.404626874
152	0.4036534641
153	0.4026832707
154	0.4017223208
155	0.4007455497
156	0.3998105628
157	0.3988187528
158	0.3978884022
159	0.3969284085
160	0.3959960295
161	0.3950859045
162	0.3941695495
163	0.3932543536
164	0.3923692064
165	0.391476931
166	0.3905622277
167	0.3896716619
168	0.3888010609
169	0.387956423
170	0.3870643503
171	0.3861902142
172	0.3852722366
173	0.3844129655
174	0.3835416401
175	0.3827052894
176	0.3818488
177	0.3809981929
178	0.3801550038
179	0.379341023
180	0.3785145244
181	0.3777109462
182	0.3768815499
183	0.376050502
184	0.3752190194
185	0.3744207729
186	0.373647736
187	0.3728288293
188	0.3720479687
189	0.3712552858
190	0.3705221207
191	0.3697552268
192	0.3689886228
193	0.3682700329
194	0.3675241181
195	0.3667163093
196	0.3659444895
197	0.3652190901
198	0.3644375341
199	0.3636791304
200	0.3629237403
201	0.362204426
202	0.3614940364
203	0.3607890076
204	0.3600778067
205	0.3593892365
206	0.358692437
207	0.3579949131
208	0.3573170063
209	0.3566226988
210	0.3559527895
211	0.3552855171
212	0.3545619433
213	0.3538829354
214	0.3531866864
215	0.352531758
216	0.3518645436
217	0.3511808705
218	0.3504723644
219	0.3498556561
220	0.3492111883
221	0.3485913216
222	0.3479272656
223	0.3472711202
224	0.3466813311
225	0.3460802412
226	0.3454752395
227	0.3448308586
228	0.3442032841
229	0.3435711602
230	0.3430045235
231	0.3423678503
232	0.3418003732
233	0.3412179442
234	0.3406272859
235	0.3400275579
236	0.3394600228
237	0.3389065124
238	0.3383669688
239	0.3377993178
240	0.337214107
241	0.3366497015
242	0.3361117225
243	0.3355675426
244	0.3349639317
245	0.3344262715
246	0.3338947543
247	0.3333624548
248	0.3328276343
249	0.3322253563
250	0.3316666881
251	0.3311445593
252	0.3306262265
253	0.3300801051
254	0.3295650177
255	0.3290584204
256	0.3285476794
257	0.3280434292
258	0.3275471185
259	0.3270510107
260	0.326552295
261	0.3260716027
262	0.32558894
263	0.3251367317
264	0.3246524464
265	0.3241017177
266	0.3236318627
267	0.3231646735
268	0.3226848215
269	0.3222251662
270	0.3217768698
271	0.3213163452
272	0.3208747133
273	0.320405177
274	0.3199443916
275	0.3194743628
276	0.3190306156
277	0.31857635
278	0.3181259092
279	0.3176999826
280	0.3172402115
281	0.3168121406
282	0.3163871703
283	0.3159560569
284	0.3155048048
285	0.3150829929
286	0.3146570084
287	0.3142493371
288	0.3138226282
289	0.3134148989
290	0.3129878422
291	0.312545399
292	0.3121307733
293	0.3117170749
294	0.3113027389
295	0.3109015584
296	0.3104894247
297	0.3101077453
298	0.3097003927
299	0.3093208287
300	0.3089231832
301	0.3085471543
302	0.308153073
303	0.3077767833
304	0.3073758345
305	0.3070080929
306	0.3066414234
307	0.3062446473
308	0.3058726172
309	0.3054653805
310	0.3050720526
311	0.3046848387
312	0.3043301365
313	0.3039500219
314	0.3035856416
315	0.3032103371
316	0.3028532299
317	0.3024559611
318	0.3021128206
319	0.3017507584
320	0.3013798583
321	0.3010298504
322	0.3006598196
323	0.3003098406
324	0.2999629911
325	0.2996202273
326	0.2992905319
327	0.2989634155
328	0.2986234624
329	0.2982862621
330	0.297957407
331	0.2976330433
332	0.2972726617
333	0.2969293474
334	0.2965825848
335	0.2962469202
336	0.2958821342
337	0.2955537138
338	0.2952272928
339	0.2949173304
340	0.2946041227
341	0.2943022448
342	0.2939915291
343	0.2936681216
344	0.2933527117
345	0.2930274208
346	0.2927119818
347	0.2924098432
348	0.2920909561
349	0.2917537557
350	0.2914421417
351	0.2911464938
352	0.2908312288
353	0.2905401012
354	0.2902365717
355	0.2899325495
356	0.2896541426
357	0.2893644349
358	0.289036681
359	0.288762157
360	0.2884373876
361	0.2881639647
362	0.2878923963
363	0.2876129463
364	0.2873083736
365	0.2870322559
366	0.2867280309
367	0.2864282973
368	0.2861440662
369	0.2858839435
370	0.2855796606
371	0.2852985589
372	0.28499671
373	0.2847348198
374	0.2844743784
375	0.2842006657
376	0.2839310967
377	0.2836628027
378	0.2834059254
379	0.2831290254
380	0.2828261623
381	0.2825784706
382	0.2822918344
383	0.2820414479
384	0.281802623
385	0.2814932402
386	0.281216398
387	0.2809563334
388	0.2806776657
389	0.2804397971
390	0.2801857305
391	0.2798671911
392	0.2796359291
393	0.2793587103
394	0.2790767393
395	0.2788350458
396	0.2785954386
397	0.2783587
398	0.2780925792
399	0.2778335577
400	0.2775859239
401	0.2773009684
402	0.277034326
403	0.2767592514
404	0.2764797724
405	0.276249032
406	0.2760146116
407	0.2757761055
408	0.2755435396
409	0.2753074675
410	0.2750589934
411	0.2748139675
412	0.2745981211
413	0.2743381723
414	0.2741259189
415	0.2738974677
416	0.2736753333
417	0.2734177027
418	0.2731958291
419	0.2729539617
420	0.2727020684
421	0.272442902
422	0.2722247084
423	0.2720109483
424	0.2717725291
425	0.2715284305
426	0.271337359
427	0.2710992585
428	0.2708648091
429	0.2705883727
430	0.2703684116
431	0.2701750509
432	0.2699518444
433	0.2697597008
434	0.269540522
435	0.2692909469
436	0.2690811855
437	0.2688722934
438	0.2686800339
439	0.2684600148
440	0.26826564
441	0.2680698743
442	0.2678273115
443	0.2675598867
444	0.2673328843
445	0.2671347425
446	0.2669344855
447	0.2667123511
448	0.2664854936
449	0.2663092871
450	0.2661305306
451	0.265913699
452	0.2657115874
453	0.2655222255
454	0.2652873705
455	0.2651009063
456	0.2649198027
457	0.2647292528
458	0.2645019606
459	0.2642720026
460	0.2640815396
461	0.263859666
462	0.2636760995
463	0.2634888239
464	0.263305663
465	0.2630717642
466	0.262881591
467	0.2627052396
468	0.2625312643
469	0.2623326589
470	0.2621101768
471	0.26191699
472	0.2617326121
473	0.261541135
474	0.2613789821
475	0.2612059051
476	0.261050127
477	0.2608851055
478	0.2607190697
479	0.2604980655
480	0.2602934909
481	0.2600591284
482	0.2598987431
483	0.2596696254
484	0.2594817703
485	0.2592998554
486	0.2591411218
487	0.2589844455
488	0.2587580806
489	0.2585932908
490	0.2584314857
491	0.2582753889
492	0.2580544715
493	0.2579123705
494	0.2577059124
495	0.2575401375
496	0.2573895752
497	0.2572386073
498	0.2570727454
499	0.2568881937
500	0.256735748
501	0.2565717406
502	0.2563710199
503	0.2561724435
504	0.2559771125
505	0.2557763628
506	0.2555653265
507	0.255368083
508	0.2552179843
509	0.2550331428
510	0.2548305676
511	0.2546478124
512	0.2544916867
513	0.2543365751
514	0.2541577028
515	0.2540071405
516	0.25384209
517	0.2536572774
518	0.2534620623
519	0.2532919699
520	0.2531515494
521	0.2530040587
522	0.2528140304
523	0.2526251031
524	0.252458343
525	0.252325978
526	0.2521307919
527	0.2519891254
528	0.2518459522
529	0.2517010984
530	0.2515656619
531	0.2514283999
532	0.2512902686
533	0.2510943001
534	0.2509570091
535	0.2507662853
536	0.250636876
537	0.2504852126
538	0.250314048
539	0.2501864352
540	0.2500339605
541	0.2498679538
542	0.2497037436
543	0.2495511819
544	0.24943119
545	0.24924319
546	0.2490811241
547	0.2489440649
548	0.2487944879
549	0.2486664694
550	0.2484935662
551	0.2483668517
552	0.2482343708
553	0.2481189861
554	0.2479564566
555	0.2478182963
556	0.2476954067
557	0.2475677359
558	0.2474418327
559	0.2472733919
560	0.247121207
561	0.2469934493
562	0.246850363
563	0.246734167
564	0.2466020339
565	0.2464783908
566	0.2463564285
567	0.2462470999
568	0.2460783404
569	0.2459039304
570	0.2457499779
571	0.2456069206
572	0.2454502443
573	0.245279978
574	0.2451526549
575	0.2450245206
576	0.2448555582
577	0.2447091396
578	0.2445587512
579	0.2444073776
580	0.2442602346
581	0.244097763
582	0.243981509
583	0.2438674862
584	0.243744046
585	0.2435856891
586	0.2434818081
587	0.2433524277
588	0.2432048501
589	0.2430901029
590	0.2429591288
591	0.2428433529
592	0.2427206371
593	0.2425986458
594	0.2424448382
595	0.2423181526
596	0.2421650984
597	0.2420253734
598	0.2419114085
599	0.2417697131
600	0.2416485766
601	0.24150465
602	0.2413898448
603	0.2412662163
604	0.2411494697
605	0.2410167281
606	0.2408616455
607	0.2407101705
608	0.2405891209
609	0.2404661153
610	0.2403571345
611	0.2402342448
612	0.2401056758
613	0.2399610538
614	0.2398497837
615	0.2397172594
616	0.2395822576
617	0.2394596432
618	0.239355458
619	0.2392405949
620	0.2391343958
621	0.2390201991
622	0.2389110733
623	0.2388031936
624	0.2386786088
625	0.2385596166
626	0.2384128792
627	0.2383102877
628	0.2382095217
629	0.2381025837
630	0.2379706244
631	0.2378665985
632	0.2377502286
633	0.2376274839
634	0.2375001174
635	0.2373909336
636	0.237274274
637	0.2371711029
638	0.2370724522
639	0.2369623847
640	0.2368394516
641	0.2367261822
642	0.2365983376
643	0.2364836628
644	0.236370944
645	0.2362644696
646	0.2361645584
647	0.2360430307
648	0.2359473935
649	0.2358432227
650	0.2357322425
651	0.2356297958
652	0.2355104703
653	0.2353922025
654	0.2352875536
655	0.2351729513
656	0.2350515684
657	0.2349477164
658	0.2348217987
659	0.2347262485
660	0.2346086181
661	0.2345002892
662	0.2343927862
663	0.2342951931
664	0.2341486731
665	0.2340505584
666	0.2339487348
667	0.233852634
668	0.2337773384
669	0.2336501168
670	0.2335486698
671	0.2334181593
672	0.2333276221
673	0.233229942
674	0.2330969396
675	0.232986365
676	0.2329018983
677	0.2327835146
678	0.2326887467
679	0.2325841558
680	0.2324588466
681	0.2323626009
682	0.2322596617
