iter	Passed	Remaining
0	208	417141
1	411	411120
2	609	405562
3	815	407024
4	1018	406540
5	1216	404176
6	1409	401254
7	1609	400676
8	1802	398792
9	1992	396517
10	2176	393467
11	2373	393257
12	2553	390244
13	2734	387865
14	2914	385686
15	3098	384262
16	3294	384305
17	3477	382960
18	3682	383902
19	3887	384842
20	4092	385644
21	4273	384208
22	4459	383354
23	4643	382323
24	4832	381789
25	5018	380995
26	5201	380116
27	5387	379461
28	5572	378729
29	5757	378098
30	5946	377727
31	6133	377182
32	6322	376849
33	6516	376820
34	6703	376362
35	6890	375933
36	7069	375080
37	7247	374206
38	7431	373686
39	7619	373331
40	7806	372977
41	7997	372823
42	8186	372579
43	8374	372270
44	8570	372358
45	8752	371797
46	8939	371446
47	9125	371091
48	9304	370488
49	9495	370325
50	9678	369879
51	9860	369391
52	10043	368972
53	10226	368537
54	10413	368266
55	10596	367856
56	10796	368035
57	10975	367505
58	11159	367136
59	11344	366801
60	11526	366396
61	11713	366130
62	11893	365684
63	12078	365384
64	12263	365066
65	12447	364752
66	12633	364479
67	12827	364459
68	13010	364118
69	13190	363690
70	13373	363343
71	13551	362879
72	13734	362562
73	13921	362342
74	14103	361985
75	14285	361650
76	14469	361361
77	14650	361008
78	14841	360897
79	15028	360691
80	15213	360433
81	15390	359995
82	15575	359737
83	15753	359336
84	15942	359164
85	16269	362095
86	16585	364688
87	16783	364653
88	16981	364628
89	17160	364182
90	17350	363973
91	17528	363522
92	17719	363346
93	17904	363052
94	18091	362780
95	18545	367815
96	18743	367727
97	18931	367429
98	19122	367184
99	19312	366942
100	19500	366644
101	19688	366356
102	19870	365963
103	20060	365718
104	20246	365403
105	20433	365106
106	20623	364863
107	20818	364709
108	21004	364406
109	21202	364297
110	21402	364235
111	21585	363865
112	21766	363477
113	21951	363162
114	22136	362849
115	22322	362546
116	22500	362121
117	22690	361901
118	22879	361649
119	23062	361308
120	23248	361021
121	23435	360752
122	23628	360573
123	23811	360243
124	23991	359876
125	24179	359622
126	24388	359688
127	24576	359437
128	24777	359371
129	24972	359223
